"Story","Title","Result","Date","Stability","Duration (s)"
"El usurio realizar la compra de suplementos deportivos","01 - Se realiza la compra exitosa de los suplementos deportivos","SUCCESS","2023-01-03T09:49:58.3359054-05:00[America/Bogota]","0.0","48.9"
"El usurio realizar la compra de suplementos deportivos","O2 - Se realiza una compra no exitosa de los suplementos deportivos","SUCCESS","2023-01-03T09:50:52.3047407-05:00[America/Bogota]","0.0","35.18"
